video_id,movie_or_real,person_id,action
Apollo13_032,m,2,61
Apollo13_033,m,1,61
Apollo13_036,m,1,12
Apollo13_048,m,1,17
Apollo13_048,m,1,80
Apollo13_049,m,1,80
Apollo13_056,m,1,79
Apollo13_056,m,1,80
Apollo13_056,m,2,74
Apollo13_056,m,2,61
Apollo13_057,m,1,79
Apollo13_057,m,1,80
Apollo13_057,m,1,74
Apollo13_057,m,2,79
Apollo13_057,m,2,80
Apollo13_057,m,2,74
Apollo13_057,m,2,17
Apollo13_098,m,1,36
Apollo13_098,m,2,61
Apollo13_098,m,2,79
Apollo13_098,m,3,61
Apollo13_098,m,3,79
Apollo13_099,m,1,79
Apollo13_099,m,1,61
Apollo13_100,m,1,79
Apollo13_100,m,1,80
Apollo13_1002,m,1,61
Apollo13_1003,m,1,80
Apollo13_1003,m,2,61
Apollo13_1003,m,2,17
Apollo13_1003,m,3,74
Apollo13_1003,m,3,1
Apollo13_1003,m,3,80
Apollo13_1008,m,1,17
Apollo13_1008,m,1,6
Apollo13_1019,m,1,61
Apollo13_1019,m,1,79
Apollo13_102,m,1,74
Apollo13_102,m,1,80
Apollo13_102,m,2,74
Apollo13_102,m,2,79
Apollo13_102,m,2,80
Apollo13_1029,m,1,14
Apollo13_1029,m,1,30
Apollo13_1042,m,1,17
Apollo13_1042,m,1,61
Apollo13_1043,m,1,17
Apollo13_1043,m,4,17
Apollo13_1044,m,1,17
Apollo13_1044,m,2,61
Apollo13_1044,m,2,36
Apollo13_1045,m,3,17
Apollo13_1045,m,3,61
Apollo13_1046,m,1,17
Apollo13_1046,m,1,61
Apollo13_1055,m,1,1
Apollo13_1055,m,1,61
Apollo13_1064,m,2,11
Apollo13_1064,m,2,59
Apollo13_1065,m,1,12
Apollo13_1068,m,1,61
Apollo13_1073,m,1,79
Apollo13_1073,m,1,61
Apollo13_1082,m,1,61
Apollo13_1082,m,1,79
Apollo13_1146,m,2,61
Apollo13_1147,m,1,80
Apollo13_1153,m,1,46
Apollo13_1153,m,1,12
Apollo13_1154,m,1,79
Apollo13_1154,m,1,26
Apollo13_1188,m,1,17
Apollo13_1189,m,1,17
Apollo13_119,m,1,61
Apollo13_1191,m,2,61
Apollo13_1192,m,1,17
Apollo13_1192,m,1,34
Apollo13_1193,m,2,80
Apollo13_1193,m,2,11
Apollo13_1194,m,1,11
Apollo13_1194,m,1,80
Apollo13_1196,m,1,80
Apollo13_1203,m,1,12
Apollo13_1203,m,1,61
Apollo13_1204,m,1,12
Apollo13_1204,m,2,80
Apollo13_1205,m,1,61
Apollo13_1211,m,1,28
Apollo13_1211,m,2,63
Apollo13_1212,m,1,61
Apollo13_1212,m,1,28
Apollo13_1213,m,1,79
Apollo13_1213,m,1,61
Apollo13_1214,m,1,79
Apollo13_1214,m,1,47
Apollo13_1248,m,1,28
Apollo13_1249,m,2,17
Apollo13_1249,m,1,80
Apollo13_1249,m,4,61
Apollo13_1250,m,1,28
Apollo13_1250,m,2,17
Apollo13_1251,m,1,79
Apollo13_1251,m,2,74
Apollo13_1252,m,1,79
Apollo13_1252,m,2,74
Apollo13_1255,m,1,80
Apollo13_1256,m,2,80
Apollo13_1260,m,1,80
Apollo13_1261,m,1,12
Apollo13_1261,m,1,79
Apollo13_1264,m,2,61
Apollo13_1265,m,1,80
Apollo13_1265,m,2,61
Apollo13_1287,m,1,79
Apollo13_1287,m,2,61
Apollo13_1293,m,1,79
Apollo13_1293,m,1,61
Apollo13_1294,m,1,61
Apollo13_132,m,1,79
Apollo13_1363,m,2,12
Apollo13_1364,m,1,12
Apollo13_1364,m,3,80
Apollo13_1368,m,1,17
Apollo13_1371,m,1,79
Apollo13_1371,m,1,61
Apollo13_1371,m,2,80
Apollo13_1372,m,1,17
Apollo13_1372,m,1,61
Apollo13_1372,m,2,17
Apollo13_1372,m,2,80
Apollo13_1374,m,2,80
Apollo13_1374,m,2,79
Apollo13_1374,m,3,17
Apollo13_1374,m,3,61
Apollo13_1375,m,1,80
Apollo13_1375,m,1,79
Apollo13_1375,m,2,17
Apollo13_1379,m,1,79
Apollo13_1379,m,1,80
Apollo13_1379,m,2,17
Apollo13_1379,m,2,80
Apollo13_1380,m,1,79
Apollo13_1380,m,1,80
Apollo13_1380,m,2,17
Apollo13_1381,m,1,17
Apollo13_1381,m,1,80
Apollo13_1381,m,2,79
Apollo13_1381,m,2,80
Apollo13_1382,m,1,17
Apollo13_1382,m,2,79
Apollo13_1382,m,2,80
Apollo13_1383,m,1,79
Apollo13_1383,m,1,80
Apollo13_1383,m,2,17
Apollo13_1384,m,1,79
Apollo13_1384,m,1,80
Apollo13_1385,m,1,79
Apollo13_1385,m,1,80
Apollo13_1392,m,1,17
Apollo13_1392,m,2,61
Apollo13_142,m,1,61
Apollo13_142,m,1,11
Apollo13_143,m,1,17
Apollo13_143,m,1,79
Apollo13_143,m,1,61
Apollo13_1454,m,1,12
Apollo13_1454,m,1,80
Apollo13_1454,m,1,74
Apollo13_1454,m,1,79
Apollo13_1455,m,1,61
Apollo13_1455,m,1,79
Apollo13_1459,m,1,61
Apollo13_146,m,1,17
Apollo13_1460,m,1,79
Apollo13_1460,m,2,80
Apollo13_1473,m,1,63
Apollo13_1474,m,2,63
Apollo13_1484,m,1,59
Apollo13_1486,m,1,79
Apollo13_1486,m,1,59
Apollo13_1490,m,1,61
Apollo13_150,m,1,79
Apollo13_1540,m,1,11
Apollo13_1540,m,1,28
Apollo13_1540,m,1,59
Apollo13_1548,m,1,79
Apollo13_1548,m,1,80
Apollo13_166,m,1,17
Apollo13_166,m,1,12
Apollo13_166,m,3,11
Apollo13_167,m,1,11
Apollo13_167,m,2,17
Apollo13_167,m,2,12
Apollo13_167,m,2,27
Apollo13_168,m,1,65
Apollo13_168,m,1,80
Apollo13_168,m,2,11
Apollo13_168,m,2,61
Apollo13_182,m,1,14
Apollo13_182,m,1,17
Apollo13_190,m,1,1
Apollo13_190,m,1,14
Apollo13_195,m,1,11
Apollo13_195,m,1,17
Apollo13_195,m,1,79
Apollo13_195,m,1,61
Apollo13_196,m,1,11
Apollo13_196,m,1,17
Apollo13_196,m,1,79
Apollo13_198,m,1,17
Apollo13_198,m,1,14
Apollo13_202,m,1,12
Apollo13_202,m,1,61
Apollo13_203,m,1,12
Apollo13_203,m,1,80
Apollo13_205,m,1,79
Apollo13_205,m,2,79
Apollo13_206,m,1,79
Apollo13_206,m,2,11
Apollo13_206,m,2,74
Apollo13_207,m,1,79
Apollo13_207,m,2,61
Apollo13_208,m,1,79
Apollo13_208,m,2,74
Apollo13_210,m,1,79
Apollo13_211,m,1,79
Apollo13_211,m,2,11
Apollo13_211,m,2,80
Apollo13_212,m,1,79
Apollo13_219,m,1,12
Apollo13_219,m,1,79
Apollo13_219,m,1,61
Apollo13_220,m,1,12
Apollo13_220,m,1,17
Apollo13_242,m,1,79
Apollo13_242,m,1,80
Apollo13_242,m,2,80
Apollo13_242,m,2,11
Apollo13_278,m,1,79
Apollo13_278,m,1,17
Apollo13_279,m,1,17
Apollo13_279,m,1,79
Apollo13_280,m,1,79
Apollo13_285,m,1,79
Apollo13_285,m,2,11
Apollo13_285,m,2,79
Apollo13_285,m,2,61
Apollo13_291,m,1,61
Apollo13_292,m,1,61
Apollo13_293,m,1,61
Apollo13_324,m,1,79
Apollo13_337,m,3,79
Apollo13_338,m,1,79
Apollo13_363,m,1,74
Apollo13_363,m,1,79
Apollo13_363,m,2,80
Apollo13_363,m,3,74
Apollo13_364,m,1,61
Apollo13_364,m,2,74
Apollo13_364,m,2,80
Apollo13_364,m,3,74
Apollo13_365,m,1,74
Apollo13_365,m,2,79
Apollo13_365,m,3,80
Apollo13_365,m,3,74
Apollo13_366,m,1,80
Apollo13_366,m,1,74
Apollo13_366,m,2,79
Apollo13_370,m,1,8
Apollo13_370,m,2,74
Apollo13_370,m,2,80
Apollo13_370,m,3,61
Apollo13_371,m,2,61
Apollo13_371,m,1,74
Apollo13_376,m,1,79
Apollo13_376,m,1,74
Apollo13_376,m,2,8
Apollo13_377,m,1,80
Apollo13_377,m,2,61
Apollo13_378,m,1,61
Apollo13_378,m,2,79
Apollo13_382,m,1,79
Apollo13_383,m,3,80
Apollo13_388,m,1,79
Apollo13_389,m,1,80
Apollo13_389,m,2,61
Apollo13_396,m,1,61
Apollo13_396,m,2,61
Apollo13_421,m,1,12
Apollo13_421,m,1,61
Apollo13_434,m,1,17
Apollo13_434,m,1,61
Apollo13_435,m,1,61
Apollo13_435,m,1,17
Apollo13_440,m,1,12
Apollo13_440,m,1,17
Apollo13_440,m,1,79
Apollo13_440,m,1,61
Apollo13_440,m,1,61
Apollo13_445,m,1,79
Apollo13_448,m,1,79
Apollo13_449,m,1,79
Apollo13_558,m,1,59
Apollo13_569,m,1,17
Apollo13_569,m,1,61
Apollo13_573,m,2,61
Apollo13_631,m,1,17
Apollo13_631,m,1,11
Apollo13_631,m,1,61
Apollo13_632,m,1,61
Apollo13_632,m,1,11
Apollo13_633,m,1,11
Apollo13_633,m,1,79
Apollo13_636,m,1,61
Apollo13_636,m,1,14
Apollo13_636,m,2,12
Apollo13_636,m,2,17
Apollo13_642,m,1,12
Apollo13_642,m,2,79
Apollo13_643,m,1,61
Apollo13_643,m,2,79
Apollo13_643,m,2,17
Apollo13_644,m,1,79
Apollo13_644,m,2,74
Apollo13_644,m,2,80
Apollo13_646,m,1,80
Apollo13_646,m,2,80
Apollo13_647,m,1,80
Apollo13_651,m,1,61
Apollo13_665,m,1,61
Apollo13_668,m,1,61
Apollo13_677,m,1,61
Apollo13_685,m,1,61
Apollo13_686,m,1,61
Apollo13_687,m,1,61
Apollo13_688,m,1,61
Apollo13_688,m,2,20
Apollo13_699,m,1,3
Apollo13_704,m,1,61
Apollo13_705,m,1,61
Apollo13_708,m,1,61
Apollo13_717,m,1,79
Apollo13_721,m,1,79
Apollo13_723,m,1,61
Apollo13_723,m,2,61
Apollo13_725,m,1,79
Apollo13_728,m,1,12
Apollo13_728,m,2,61
Apollo13_728,m,3,14
Apollo13_804,m,1,67
Apollo13_805,m,1,67
Apollo13_805,m,2,80
Apollo13_806,m,1,74
Apollo13_806,m,1,11
Apollo13_806,m,1,61
Apollo13_806,m,1,11
Apollo13_806,m,1,17
Apollo13_806,m,1,79
Apollo13_818,m,1,79
Apollo13_819,m,1,79
Apollo13_876,m,1,17
Apollo13_884,m,1,17
Apollo13_884,m,1,29
Apollo13_890,m,1,11
Apollo13_890,m,1,61
Apollo13_890,m,2,11
Apollo13_890,m,2,61
Apollo13_891,m,1,74
Apollo13_891,m,1,11
Apollo13_891,m,2,11
Apollo13_891,m,2,61
Apollo13_894,m,1,80
Apollo13_894,m,1,11
Apollo13_894,m,2,17
Apollo13_894,m,2,80
Apollo13_895,m,1,78
Apollo13_895,m,2,65
Apollo13_896,m,1,80
Apollo13_896,m,2,17
Apollo13_897,m,1,79
Apollo13_898,m,1,80
Apollo13_900,m,1,79
Apollo13_900,m,1,11
Apollo13_900,m,2,61
Apollo13_903,m,1,17
Apollo13_903,m,1,80
Apollo13_905,m,1,11
Apollo13_905,m,1,74
Apollo13_906,m,1,11
Apollo13_906,m,2,14
Apollo13_908,m,1,79
Apollo13_910,m,1,61
Apollo13_911,m,1,79
Apollo13_911,m,1,61
Apollo13_913,m,2,61
Apollo13_914,m,1,79
Apollo13_916,m,1,61
Apollo13_917,m,1,61
Apollo13_918,m,1,79
Apollo13_919,m,1,79
Apollo13_920,m,2,80
Apollo13_921,m,1,76
Apollo13_922,m,1,79
Apollo13_922,m,1,80
Apollo13_922,m,2,80
Apollo13_923,m,1,79
Apollo13_923,m,1,80
Apollo13_924,m,1,61
Apollo13_925,m,1,79
Apollo13_925,m,1,61
Apollo13_926,m,1,79
Apollo13_926,m,1,80
Apollo13_929,m,1,79
Apollo13_929,m,2,80
Apollo13_929,m,2,74
Apollo13_930,m,1,61
Apollo13_930,m,2,80
Apollo13_931,m,1,80
Apollo13_931,m,2,61
Apollo13_937,m,2,74
Apollo13_937,m,2,79
Apollo13_937,m,2,80
Apollo13_937,m,1,74
Apollo13_937,m,1,80
Apollo13_938,m,2,79
Apollo13_938,m,2,80
Apollo13_938,m,3,74
Apollo13_938,m,3,80
Apollo13_938,m,1,74
Apollo13_939,m,1,74
Apollo13_939,m,1,80
Apollo13_939,m,3,79
Apollo13_939,m,3,80
Apollo13_939,m,2,80
Apollo13_944,m,1,74
Apollo13_944,m,1,17
Apollo13_944,m,1,80
Apollo13_944,m,3,79
Apollo13_944,m,2,74
Apollo13_944,m,2,80
Apollo13_949,m,1,79
Apollo13_950,m,1,79
